Job_Title,Location,machine_learning,hadoop,tableau,lat,long
Sr Data Scientist,WA,0,0,0,47.751076,-120.740135
Data Scientist,GA,1,0,0,33.247875,-83.441162
Data Scientist - IS&T,PA,1,0,0,41.203323,-77.194527
Data Science Development Program- Junior Data Scientist,MA,1,0,0,45.376584,-68.972168
Data Scientist,VA,0,1,0,44,-72.699997
Data Scientist,IL,1,0,0,40,-89
Data Scientist,UT,1,0,0,39.41922,-11.950684
Check and Deposit Fraud Data Scientist,NC,1,0,1,35.782169,-80.793457
Data Scientist,NY,1,1,0,43,-75
"Data Scientist, Bioinformatics Developer",MA,0,0,0,45.376584,-68.972168
Data Scientist,DC,0,0,0,47.751076,-120.740135
Geospatial Data Scientist 2,CO,0,0,0,39.113014,-105.358887
Data Scientist,NE,0,0,0,41.5,-100
Data Scientist,TX,1,0,0,31,-100
Data Scientist,FL,0,0,0,27.994402,-81.760254
"Data Scientist, Consumer Revenue",NY,0,0,1,43,-75
Data Scientist (Bioinformatics),MD,0,0,0,39.045753,-76.641273
Data Scientist,IN,1,0,0,40.273502,-86.126976
Data Scientist,MN,0,0,1,45.376584,-68.972168
Data Scientist,TX,1,0,0,31,-100
Data Scientist,MD,0,0,0,39.045753,-76.641273
Principal Deep Learning Data Scientist,CA,1,0,0,36.778259,-119.417931
Data Scientist,PA,1,0,0,41.203323,-77.194527
Data Scientist,PA,1,0,0,41.203323,-77.194527
Data Scientist,PA,1,0,0,41.203323,-77.194527
Data Scientist-Marketing GCIA,AR,0,0,0,34.799999,-92.199997
Junior Data Scientist,CA,1,0,0,36.778259,-119.417931
Data Scientist,TX,1,0,0,31,-100
"Principal Data Scientist, Connected Care",MI,1,1,0,44.182205,-84.506836
Manufacturing Data Scientist,WA,1,0,0,47.751076,-120.740135
Data Scientist,NY,1,0,0,43,-75
Machine Learning and Artificial Intelligence Scientist,MI,1,0,0,44.182205,-84.506836
Data Scientist,PA,1,0,0,41.203323,-77.194527
Senior Data Scientist,FL,0,0,1,27.994402,-81.760254
Junior Data Scientist,VA,0,0,1,44,-72.699997
Data Scientist,MD,1,0,0,39.045753,-76.641273
Data Scientist,PA,0,0,1,41.203323,-77.194527
Sr Medical Economics Data Scientist,OH,0,0,0,40.367474,-82.996216
