Location,job_type,sql,sas,spark,java,r,lat,long
GA,data_engineer,0,0,0,0,0,33.247875,-83.441162
CA,data_engineer,1,0,1,1,1,36.778259,-119.417931
MN,data_engineer,1,0,1,1,0,46.39241,-94.63623
TX,data_engineer,0,0,0,0,0,31,-100
AZ,data_engineer,1,0,0,0,0,34.048927,-11.093735
IA,data_engineer,0,0,0,1,0,42.032974,-93.581543
PA,data_engineer,1,0,0,0,0,41.203323,-77.194527
WV,data_engineer,0,0,0,0,0,39,-80.5
MD,data_engineer,1,0,0,1,0,39.045753,-76.641273
CA,data_engineer,0,0,0,0,0,36.778259,-119.417931
MI,data_engineer,1,0,0,0,0,44.182205,-84.506836
CT,data_engineer,0,0,0,1,0,41.599998,-72.699997
CO,data_engineer,0,0,0,1,0,39.113014,-105.358887
CA,data_engineer,0,0,0,0,0,36.778259,-119.417931
CA,data_engineer,0,0,1,1,0,36.778259,-119.417931
TX,data_engineer,0,0,0,0,0,31,-100
MI,data_engineer,0,1,0,1,1,44.182205,-84.506836
CA,data_engineer,0,0,1,1,0,36.778259,-119.417931
CA,data_engineer,1,0,0,1,0,36.778259,-119.417931
CA,data_engineer,1,0,0,0,0,36.778259,-119.417931
IL,data_engineer,0,0,0,0,0,40,-89
IA,data_engineer,1,0,0,0,0,42.032974,-93.581543
IN,data_engineer,0,0,1,1,0,40.273502,-86.126976
WA,data_engineer,0,0,0,0,0,47.751076,-120.740135
MI,data_engineer,0,0,0,0,0,44.182205,-84.506836
AZ,data_engineer,0,1,0,1,1,34.048927,-11.093735
CA,data_engineer,1,0,0,1,0,36.778259,-119.417931
NY,data_engineer,0,0,0,0,0,43,-75
TX,data_engineer,0,0,0,0,0,31,-100
DC,data_engineer,1,0,0,0,0,47.751076,-120.740135
CA,data_engineer,1,0,0,1,0,36.778259,-119.417931
FL,data_engineer,0,0,0,1,0,27.994402,-81.760254
MA,data_engineer,0,0,0,0,0,45.376584,-68.972168
TX,data_engineer,1,0,0,1,0,31,-100
OR,data_engineer,1,0,1,0,0,44,-120.5
CA,data_engineer,1,0,0,1,0,36.778259,-119.417931
MA,data_engineer,1,0,0,1,0,45.376584,-68.972168
MD,data_engineer,0,0,0,0,0,39.045753,-76.641273
TX,data_engineer,1,0,0,0,0,31,-100
CA,data_engineer,0,0,0,0,0,36.778259,-119.417931
MA,data_engineer,1,0,0,1,0,45.376584,-68.972168
MA,data_engineer,1,0,0,1,1,45.376584,-68.972168
CA,data_engineer,1,0,0,1,0,36.778259,-119.417931
MD,data_engineer,0,0,0,0,0,39.045753,-76.641273
CA,data_engineer,1,0,0,1,0,36.778259,-119.417931
NJ,data_engineer,0,0,1,1,0,,
NV,data_engineer,1,0,0,1,0,39.876019,-117.224121
GA,data_engineer,1,0,1,1,0,33.247875,-83.441162
CA,data_engineer,1,0,0,0,0,36.778259,-119.417931
MN,data_engineer,1,0,0,0,0,46.39241,-94.63623
SC,data_engineer,1,0,0,0,0,33.836082,-81.163727
LA,data_engineer,1,1,1,1,1,30.39183,-92.329102
MA,data_engineer,1,0,0,1,1,45.376584,-68.972168
MD,data_engineer,0,0,1,1,0,39.045753,-76.641273
CA,data_engineer,1,0,0,0,0,36.778259,-119.417931
NV,data_engineer,0,0,0,0,0,39.876019,-117.224121
MT,data_engineer,0,0,0,0,0,46.96526,-109.533691
ND,data_engineer,0,0,0,0,0,47.650589,-100.437012
IL,data_engineer,1,0,0,1,0,40,-89
IA,data_engineer,1,0,0,0,1,42.032974,-93.581543
IA,data_engineer,1,0,1,0,0,42.032974,-93.581543
AZ,data_engineer,1,0,1,0,0,34.048927,-11.093735
NY,data_engineer,0,0,0,1,0,43,-75
MN,data_engineer,0,0,1,1,0,46.39241,-94.63623
CA,data_engineer,1,0,0,1,0,36.778259,-119.417931
CA,data_engineer,1,0,0,1,0,36.778259,-119.417931
CA,data_engineer,1,1,1,1,0,36.778259,-119.417931
CA,data_engineer,1,0,0,0,0,36.778259,-119.417931
AZ,data_engineer,0,0,1,1,0,34.048927,-11.093735
TX,data_engineer,0,0,0,1,0,31,-100
CO,data_engineer,1,0,1,0,0,39.113014,-105.358887
FL,data_engineer,1,0,0,1,1,27.994402,-81.760254
CA,data_engineer,0,0,0,0,0,36.778259,-119.417931
FL,data_engineer,1,0,0,1,0,27.994402,-81.760254
CA,data_engineer,1,0,1,1,0,36.778259,-119.417931
IL,data_engineer,1,0,0,0,0,40,-89
NC,data_engineer,0,0,0,1,0,35.782169,-80.793457
AZ,data_engineer,1,0,0,1,1,34.048927,-11.093735
NC,data_engineer,1,0,0,0,0,35.782169,-80.793457
IL,data_engineer,1,0,0,0,0,40,-89
MO,data_engineer,1,0,1,1,0,38.573936,-92.60376
OK,data_engineer,1,0,0,1,1,36.084621,-96.921387
NJ,data_engineer,1,0,1,0,1,,
TX,data_engineer,0,0,0,0,0,31,-100
TX,data_engineer,0,0,0,1,0,31,-100
CA,data_engineer,0,0,0,0,0,36.778259,-119.417931
PA,data_engineer,0,0,0,0,0,41.203323,-77.194527
MI,data_engineer,0,0,0,0,0,44.182205,-84.506836
UT,data_engineer,1,0,0,0,0,39.41922,-11.950684
NY,data_engineer,1,0,0,1,0,43,-75
CO,data_engineer,1,0,0,1,1,39.113014,-105.358887
MD,data_engineer,0,0,0,0,0,39.045753,-76.641273
TN,data_engineer,0,0,1,1,0,35.860119,-86.660156
CA,data_engineer,0,0,0,1,0,36.778259,-119.417931
MA,data_engineer,0,0,1,1,0,45.376584,-68.972168
