Location,job_type,sql,sas,spark,java,r,lat,long
NE,data_scientist,1,0,0,0,0,41.5,-100
TX,data_scientist,1,1,0,0,1,31,-100
FL,data_scientist,0,0,0,0,1,27.994402,-81.760254
NY,data_scientist,1,0,0,0,0,43,-75
MD,data_scientist,0,0,0,1,1,39.045753,-76.641273
IN,data_scientist,1,0,0,0,1,40.273502,-86.126976
MN,data_scientist,0,1,0,0,1,46.39241,-94.63623
TX,data_scientist,0,0,0,0,0,31,-100
MD,data_scientist,0,0,0,0,1,39.045753,-76.641273
CA,data_scientist,0,0,0,0,0,36.778259,-119.417931
PA,data_scientist,0,0,0,0,1,41.203323,-77.194527
PA,data_scientist,0,0,0,0,1,41.203323,-77.194527
PA,data_scientist,0,0,0,0,0,41.203323,-77.194527
AR,data_scientist,1,1,0,0,1,34.048927,-11.093735
CA,data_scientist,1,0,0,0,1,36.778259,-119.417931
TX,data_scientist,0,0,0,0,0,31,-100
MI,data_scientist,1,0,1,0,1,44.182205,-84.506836
WA,data_scientist,0,0,0,0,0,47.751076,-120.740135
NY,data_scientist,0,0,0,0,1,43,-75
MI,data_scientist,0,0,0,0,1,44.182205,-84.506836
PA,data_scientist,0,1,0,0,1,41.203323,-77.194527
FL,data_scientist,1,0,0,0,1,27.994402,-81.760254
VA,data_scientist,1,0,0,1,1,37.926868,-68.024902
MD,data_scientist,0,0,0,1,1,39.045753,-76.641273
PA,data_scientist,0,1,0,0,1,41.203323,-77.194527
OH,data_scientist,1,1,0,0,1,40.367474,-82.996216
TX,data_scientist,0,0,0,0,0,31,-100
CO,data_scientist,1,1,0,0,1,39.113014,-105.358887
MO,data_scientist,1,1,0,0,0,38.573936,-92.60376
CA,data_scientist,0,0,0,1,0,36.778259,-119.417931
MN,data_scientist,1,1,0,0,1,46.39241,-94.63623
MN,data_scientist,0,0,0,0,0,46.39241,-94.63623
TX,data_scientist,0,0,0,0,0,31,-100
CO,data_scientist,0,1,0,0,1,39.113014,-105.358887
FL,data_scientist,1,0,0,0,1,27.994402,-81.760254
TX,data_scientist,0,0,0,0,0,31,-100
NE,data_scientist,1,1,1,0,1,41.5,-100
TX,data_scientist,0,1,0,0,1,31,-100
MN,data_scientist,0,0,0,0,0,46.39241,-94.63623
GA,data_scientist,1,1,0,0,0,33.247875,-83.441162
VA,data_scientist,1,0,0,0,1,37.926868,-68.024902
CA,data_scientist,1,0,0,0,1,36.778259,-119.417931
VA,data_scientist,0,0,1,1,1,37.926868,-68.024902
MA,data_scientist,0,0,0,0,1,45.376584,-68.972168
CA,data_scientist,0,0,0,0,1,36.778259,-119.417931
NC,data_scientist,1,1,0,0,1,35.782169,-80.793457
CO,data_scientist,1,0,1,1,1,39.113014,-105.358887
WI,data_scientist,1,0,0,0,0,44.5,-89.5
