Location,job_type,sql,sas,spark,java,r,lat,long
GA,data_analyst,1,1,0,0,1,33.247875,-83.441162
TX,data_analyst,0,0,0,0,0,31,-100
GA,data_analyst,0,0,0,0,0,33.247875,-83.441162
NY,data_analyst,0,1,0,0,0,43,-75
CA,data_analyst,1,0,0,0,0,36.778259,-119.417931
CA,data_analyst,1,0,0,0,0,36.778259,-119.417931
AZ,data_analyst,0,0,0,0,0,34.048927,-11.093735
AR,data_analyst,0,0,0,0,0,34.048927,-11.093735
CA,data_analyst,1,1,0,0,0,36.778259,-119.417931
FL,data_analyst,1,0,0,0,0,27.994402,-81.760254
NY,data_analyst,1,0,0,0,0,43,-75
MD,data_analyst,1,1,0,0,0,39.045753,-76.641273
MA,data_analyst,0,0,0,0,0,45.376584,-68.972168
NJ,data_analyst,0,0,0,0,0,39.833851,-74.871826
OR,data_analyst,0,0,0,0,0,44,-120.5
IL,data_analyst,1,0,0,0,0,40,-89
CA,data_analyst,0,0,0,0,0,36.778259,-119.417931
NY,data_analyst,0,0,0,1,1,43,-75
NY,data_analyst,0,0,0,1,1,43,-75
NY,data_analyst,0,0,0,1,1,43,-75
NY,data_analyst,0,0,0,1,1,43,-75
NY,data_analyst,0,0,0,1,1,43,-75
NY,data_analyst,0,0,0,1,1,43,-75
NY,data_analyst,0,0,0,0,0,43,-75
TN,data_analyst,0,0,0,0,0,35.860119,-86.660156
MN,data_analyst,1,0,0,0,0,46.39241,-94.63623
MN,data_analyst,0,1,0,0,0,46.39241,-94.63623
WA,data_analyst,1,0,0,0,0,47.751076,-120.740135
PA,data_analyst,0,0,0,0,0,41.203323,-77.194527
NY,data_analyst,1,0,0,0,0,43,-75
MI,data_analyst,1,0,0,0,0,44.182205,-84.506836
CO,data_analyst,1,0,0,1,1,39.113014,-105.358887
DC,data_analyst,0,0,0,0,1,47.751076,-120.740135
MD,data_analyst,0,0,0,0,0,39.045753,-76.641273
WI,data_analyst,1,0,0,0,0,44.5,-89.5
NY,data_analyst,0,0,0,0,0,43,-75
MD,data_analyst,0,0,0,0,0,39.045753,-76.641273
VA,data_analyst,1,0,0,0,0,37.926868,-68.024902
PA,data_analyst,0,0,0,0,0,41.203323,-77.194527
NY,data_analyst,0,0,0,0,0,43,-75
NY,data_analyst,1,1,0,0,0,43,-75
TN,data_analyst,0,1,0,0,1,35.860119,-86.660156
LA,data_analyst,0,0,0,0,0,30.39183,-92.329102
NY,data_analyst,1,0,0,0,0,43,-75
MD,data_analyst,1,1,0,0,0,39.045753,-76.641273
GA,data_analyst,0,0,0,0,0,33.247875,-83.441162
TX,data_analyst,0,0,0,0,0,31,-100
MD,data_analyst,0,0,0,0,0,39.045753,-76.641273
CA,data_analyst,0,0,0,0,0,36.778259,-119.417931
OR,data_analyst,1,0,0,0,0,44,-120.5
MA,data_analyst,1,0,0,0,0,45.376584,-68.972168
NV,data_analyst,0,0,0,0,0,39.876019,-117.224121
VT,data_analyst,1,0,0,0,1,44,-72.699997
MI,data_analyst,0,0,0,0,0,44.182205,-84.506836
VT,data_analyst,1,0,0,0,1,44,-72.699997
SC,data_analyst,0,0,0,0,0,33.836082,-81.163727
OR,data_analyst,1,1,0,0,0,44,-120.5
TX,data_analyst,1,0,0,0,0,31,-100
TX,data_analyst,1,0,0,0,0,31,-100
MN,data_analyst,1,0,0,0,0,46.39241,-94.63623
CA,data_analyst,0,0,0,0,0,36.778259,-119.417931
MA,data_analyst,0,0,0,0,0,45.376584,-68.972168
TX,data_analyst,0,0,0,0,0,31,-100
CA,data_analyst,1,0,0,0,0,36.778259,-119.417931
DC,data_analyst,0,1,0,0,0,47.751076,-120.740135
MO,data_analyst,1,0,0,0,0,38.573936,-92.60376
DC,data_analyst,1,0,0,0,0,47.751076,-120.740135
WI,data_analyst,1,0,0,0,0,44.5,-89.5
CA,data_analyst,0,0,0,0,0,36.778259,-119.417931
IL,data_analyst,0,0,0,0,0,40,-89
NV,data_analyst,0,0,0,0,0,39.876019,-117.224121
